question,option1,option2,option3,option4,correct_answer,category,difficulty
What is the difference between stack and heap memory?,Stack: LIFO function calls; Heap: dynamic allocation,They are the same,Stack is faster than heap always,Heap uses less memory,Stack: LIFO function calls; Heap: dynamic allocation,coding,medium
What is Big O notation used for?,Describing algorithm complexity,Writing code,Naming variables,Database design,Describing algorithm complexity,algorithms,hard
What is the time complexity of building a heap from n elements?,O(n),O(n log n),O(n^2),O(log n),O(n),data_structures,hard
What is CAP theorem in distributed systems?,Consistency Availability Partition tolerance - pick 2 of 3,Database normalization,Network protocol,Sorting algorithm,Consistency Availability Partition tolerance - pick 2 of 3,database,hard
What is the critical section problem?,Ensuring only one process executes critical section at a time,Memory management,File locking,Network routing,Ensuring only one process executes critical section at a time,os,hard
What is the difference between TCP and UDP?,TCP is connection-oriented; UDP is connectionless,They are identical,UDP is more reliable,TCP is faster,TCP is connection-oriented; UDP is connectionless,networks,hard
What is the master theorem used for?,Solving recurrence relations,Database queries,Network routing,Sorting,Solving recurrence relations,algorithms,hard
What is a red-black tree?,A self-balancing BST with color property,A type of graph,A hash table,An array structure,A self-balancing BST with color property,data_structures,hard
What is database sharding?,Horizontal partitioning of data across multiple databases,Vertical partitioning,Backup strategy,Index creation,Horizontal partitioning of data across multiple databases,database,hard
What is the Belady's anomaly?,More page faults with more frames in some cases,Better performance with more memory always,Faster disk access,Reduced context switching,More page faults with more frames in some cases,os,hard
What is OSPF?,Open Shortest Path First - routing protocol,Operating system,Programming language,Database type,Open Shortest Path First - routing protocol,networks,hard
What is memoization in dynamic programming?,Storing results of subproblems to avoid recomputation,Memory allocation,Database caching,File storage,Storing results of subproblems to avoid recomputation,algorithms,hard
What is the time complexity of searching in a balanced BST?,O(n),O(1),O(log n),O(n log n),O(log n),data_structures,hard
What is eventual consistency?,System reaches consistency over time after no updates,A type of normalization,Immediate consistency always,A backup strategy,System reaches consistency over time after no updates,database,hard
What is the Banker's algorithm used for?,Deadlock avoidance,Memory allocation,Process scheduling,File management,Deadlock avoidance,os,hard
What is BGP?,Border Gateway Protocol - inter-AS routing,Domain name system,File transfer protocol,Email protocol,Border Gateway Protocol - inter-AS routing,networks,hard
